id,vendor_slug,vendor_label,display_name,modality,input_modalities_str,output_modalities_str,tokenizer,context_length,max_completion_tokens,is_moderated,supported_parameters,canonical_slug,description_excerpt
ai21/jamba-large-1.7,ai21,AI21,AI21: Jamba Large 1.7,text->text,text,text,Other,256000,4096,False,"[""max_tokens"", ""response_format"", ""stop"", ""temperature"", ""tool_choice"", ""tools"", ""top_p""]",ai21/jamba-large-1.7,"Jamba Large 1.7 is the latest model in the Jamba open family, offering improvements in grounding, instruction-following, and overall efficiency. Built on a hybrid SSM-Transformer architecture with a 256K context window, it delivers more accurate, contextually grounded responses and better steerability than previous versions."
aion-labs/aion-1.0,aion-labs,AionLabs,AionLabs: Aion-1.0,text->text,text,text,Other,131072,32768,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""temperature"", ""top_p""]",aion-labs/aion-1.0,"Aion-1.0 is a multi-model system designed for high performance across various tasks, including reasoning and coding. It is built on DeepSeek-R1, augmented with additional models and techniques such as Tree of Thoughts (ToT) and Mixture of Experts (MoE). It is Aion Lab's most powerful reasoning model."
aion-labs/aion-1.0-mini,aion-labs,AionLabs,AionLabs: Aion-1.0-Mini,text->text,text,text,Other,131072,32768,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""temperature"", ""top_p""]",aion-labs/aion-1.0-mini,"Aion-1.0-Mini 32B parameter model is a distilled version of the DeepSeek-R1 model, designed for strong performance in reasoning domains such as mathematics, coding, and logic. It is a modified variant of a FuseAI model that outperforms R1-Distill-Qwen-32B and R1-Distill-Llama-70B, with benchmark results available on its [Hugging Face page](https://huggingface.co/FuseAI/FuseO1-DeepSeekR1-QwQ-Sky..."
aion-labs/aion-2.0,aion-labs,AionLabs,AionLabs: Aion-2.0,text->text,text,text,Other,131072,32768,False,"[""include_reasoning"", ""max_tokens"", ""reasoning"", ""temperature"", ""top_p""]",aion-labs/aion-2.0-20260223,"Aion-2.0 is a variant of DeepSeek V3.2 optimized for immersive roleplaying and storytelling. It is particularly strong at introducing tension, crises, and conflict into stories, making narratives feel more engaging. It also handles mature and darker themes with more nuance and depth."
aion-labs/aion-rp-llama-3.1-8b,aion-labs,AionLabs,AionLabs: Aion-RP 1.0 (8B),text->text,text,text,Other,32768,32768,False,"[""max_tokens"", ""temperature"", ""top_p""]",aion-labs/aion-rp-llama-3.1-8b,"Aion-RP-Llama-3.1-8B ranks the highest in the character evaluation portion of the RPBench-Auto benchmark, a roleplaying-specific variant of Arena-Hard-Auto, where LLMs evaluate each other’s responses. It is a fine-tuned base model rather than an instruct model, designed to produce more natural and varied writing."
alfredpros/codellama-7b-instruct-solidity,alfredpros,AlfredPros,AlfredPros: CodeLLaMa 7B Instruct Solidity,text->text,text,text,Other,4096,4096,False,"[""frequency_penalty"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",alfredpros/codellama-7b-instruct-solidity,A finetuned 7 billion parameters Code LLaMA - Instruct model to generate Solidity smart contract using 4-bit QLoRA finetuning provided by PEFT library.
alibaba/tongyi-deepresearch-30b-a3b,alibaba,Alibaba,Tongyi DeepResearch 30B A3B,text->text,text,text,Other,131072,131072,False,"[""frequency_penalty"", ""include_reasoning"", ""logit_bias"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",alibaba/tongyi-deepresearch-30b-a3b,"Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion total parameters activating only 3 billion per token. It's optimized for long-horizon, deep information-seeking tasks and delivers state-of-the-art performance on benchmarks like Humanity's Last Exam, BrowserComp, BrowserComp-ZH, WebWalkerQA, GAIA, xbench-DeepSearch, and FRAMES. This makes it superio..."
allenai/molmo-2-8b,allenai,AllenAI,AllenAI: Molmo2 8B,text+image+video->text,"text,image,video",text,Other,36864,36864,False,"[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""presence_penalty"", ""repetition_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p""]",allenai/molmo-2-8b-20260109,"Molmo2-8B is an open vision-language model developed by the Allen Institute for AI (Ai2) as part of the Molmo2 family, supporting image, video, and multi-image understanding and grounding. It is based on Qwen3-8B and uses SigLIP 2 as its vision backbone, outperforming other open-weight, open-data models on short videos, counting, and captioning, while remaining competitive on long-video tasks."
allenai/olmo-2-0325-32b-instruct,allenai,AllenAI,AllenAI: Olmo 2 32B Instruct,text->text,text,text,Other,128000,,False,[],allenai/olmo-2-0325-32b-instruct,"OLMo-2 32B Instruct is a supervised instruction-finetuned variant of the OLMo-2 32B March 2025 base model. It excels in complex reasoning and instruction-following tasks across diverse benchmarks such as GSM8K, MATH, IFEval, and general NLP evaluation. Developed by AI2, OLMo-2 32B is part of an open, research-oriented initiative, trained primarily on English-language datasets to advance the und..."
allenai/olmo-3-32b-think,allenai,AllenAI,AllenAI: Olmo 3 32B Think,text->text,text,text,Other,65536,65536,False,"[""frequency_penalty"", ""include_reasoning"", ""logit_bias"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""top_k"", ""top_p""]",allenai/olmo-3-32b-think-20251121,"Olmo 3 32B Think is a large-scale, 32-billion-parameter model purpose-built for deep reasoning, complex logic chains and advanced instruction-following scenarios. Its capacity enables strong performance on demanding evaluation tasks and highly nuanced conversational reasoning. Developed by Ai2 under the Apache 2.0 license, Olmo 3 32B Think embodies the Olmo initiative’s commitment to openness, ..."
allenai/olmo-3-7b-instruct,allenai,AllenAI,AllenAI: Olmo 3 7B Instruct,text->text,text,text,Other,65536,65536,False,"[""frequency_penalty"", ""logit_bias"", ""max_tokens"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""top_k"", ""top_p""]",allenai/olmo-3-7b-instruct-20251121,"Olmo 3 7B Instruct is a supervised instruction-fine-tuned variant of the Olmo 3 7B base model, optimized for instruction-following, question-answering, and natural conversational dialogue. By leveraging high-quality instruction data and an open training pipeline, it delivers strong performance across everyday NLP tasks while remaining accessible and easy to integrate. Developed by Ai2 under the..."
allenai/olmo-3-7b-think,allenai,AllenAI,AllenAI: Olmo 3 7B Think,text->text,text,text,Other,65536,65536,False,"[""frequency_penalty"", ""include_reasoning"", ""logit_bias"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""top_k"", ""top_p""]",allenai/olmo-3-7b-think-20251121,"Olmo 3 7B Think is a research-oriented language model in the Olmo family designed for advanced reasoning and instruction-driven tasks. It excels at multi-step problem solving, logical inference, and maintaining coherent conversational context. Developed by Ai2 under the Apache 2.0 license, Olmo 3 7B Think supports transparent, fully open experimentation and provides a lightweight yet capable fo..."
allenai/olmo-3.1-32b-instruct,allenai,AllenAI,AllenAI: Olmo 3.1 32B Instruct,text->text,text,text,Other,65536,,False,"[""frequency_penalty"", ""max_tokens"", ""min_p"", ""presence_penalty"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""tool_choice"", ""tools"", ""top_k"", ""top_p""]",allenai/olmo-3.1-32b-instruct-20251215,"Olmo 3.1 32B Instruct is a large-scale, 32-billion-parameter instruction-tuned language model engineered for high-performance conversational AI, multi-turn dialogue, and practical instruction following. As part of the Olmo 3.1 family, this variant emphasizes responsiveness to complex user directions and robust chat interactions while retaining strong capabilities on reasoning and coding benchma..."
allenai/olmo-3.1-32b-think,allenai,AllenAI,AllenAI: Olmo 3.1 32B Think,text->text,text,text,Other,65536,65536,False,"[""frequency_penalty"", ""include_reasoning"", ""logit_bias"", ""max_tokens"", ""presence_penalty"", ""reasoning"", ""repetition_penalty"", ""response_format"", ""seed"", ""stop"", ""structured_outputs"", ""temperature"", ""top_k"", ""top_p""]",allenai/olmo-3.1-32b-think-20251215,"Olmo 3.1 32B Think is a large-scale, 32-billion-parameter model designed for deep reasoning, complex multi-step logic, and advanced instruction following. Building on the Olmo 3 series, version 3.1 delivers refined reasoning behavior and stronger performance across demanding evaluations and nuanced conversational tasks. Developed by Ai2 under the Apache 2.0 license, Olmo 3.1 32B Think continues..."
