id,registry_name,vendor_slug,vendor_label,modality_summary,input_modalities_str,output_modalities_str,context_length,context_length_source,context_length_note,owned_by,created,object,series,inferred_task_tags_str
codeqwen1.5-7b-chat,aliyun_bailian:codeqwen1.5-7b-chat,tongyi,阿里巴巴 (通义千问),text->text,text,text,131072,heuristic,CodeQwen 系列启发值,system,1714377102,model,other,chat
deepseek-r1,aliyun_bailian:deepseek-r1,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1760689898,model,other,chat
deepseek-r1-distill-llama-70b,aliyun_bailian:deepseek-r1-distill-llama-70b,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1757401865,model,other,chat
deepseek-r1-distill-llama-8b,aliyun_bailian:deepseek-r1-distill-llama-8b,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1753955686,model,other,chat
deepseek-r1-distill-qwen-1.5b,aliyun_bailian:deepseek-r1-distill-qwen-1.5b,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1753955733,model,other,chat
deepseek-r1-distill-qwen-14b,aliyun_bailian:deepseek-r1-distill-qwen-14b,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1753955711,model,other,chat
deepseek-r1-distill-qwen-32b,aliyun_bailian:deepseek-r1-distill-qwen-32b,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1753955700,model,other,chat
deepseek-r1-distill-qwen-7b,aliyun_bailian:deepseek-r1-distill-qwen-7b,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1753955722,model,other,chat
deepseek-v3,aliyun_bailian:deepseek-v3,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1760689908,model,other,chat
deepseek-v3.1,aliyun_bailian:deepseek-v3.1,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1772433558,model,other,chat
deepseek-v3.2,aliyun_bailian:deepseek-v3.2,deepseek,DeepSeek,text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1772280158,model,other,chat
glm-4.7,aliyun_bailian:glm-4.7,zhipu,智谱 AI (GLM),text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1773633347,model,other,chat
glm-5,aliyun_bailian:glm-5,zhipu,智谱 AI (GLM),text->text,text,text,131072,heuristic,常见 128K 量级，启发值,system,1773633329,model,other,chat
gui-plus,aliyun_bailian:gui-plus,tongyi,阿里巴巴 (通义千问),text->text,text,text,,unknown,未内置映射；请查阅阿里云百炼模型文档或控制台,system,1762330077,model,other,chat
